NCBI_Id,GeneID
LOC541612,Zm00001d038291
LOC541613,Zm00001d001865
LOC541614,Zm00001d013048
LOC541615,Zm00001d027854
LOC541617,Zm00001d018183
LOC541618,Zm00001d045310
LOC541619,Zm00001d035003
LOC541620,Zm00001d026160
LOC541622,Zm00001d028471
LOC541623,Zm00001d041984
LOC541624,Zm00001d026594
LOC541625,Zm00001d005344
LOC541626,Zm00001d042049
LOC541627,Zm00001d025050
LOC541628,Zm00001d020783
LOC541629,Zm00001d002982
LOC541630,Zm00001d011849
LOC541632,Zm00001d023242
LOC541633,Zm00001d050768
LOC541634,Zm00001d017977
LOC541635,Zm00001d002022
LOC541636,Zm00001d028265
LOC541637,Zm00001d028888
LOC541638,Zm00001d015521
LOC541639,Zm00001d048046
LOC541640,Zm00001d035700
LOC541641,Zm00001d042312
LOC541642,Zm00001d014297
LOC541643,Zm00001d005950
LOC541644,Zm00001d031253
LOC541645,Zm00001d023760
LOC541646,Zm00001d036135
LOC541647,Zm00001d014794
LOC541648,Zm00001d052079
LOC541649,Zm00001d014673
LOC541650,Zm00001d029324
LOC541651,Zm00001d007407
LOC541652,Zm00001d052666
LOC541654,Zm00001d036541
LOC541656,Zm00001d052263
LOC541657,Zm00001d000002
LOC541658,Zm00001d027934
LOC541659,Zm00001d048247
LOC541661,Zm00001d010650
LOC541662,Zm00001d036213
LOC541663,Zm00001d044599
LOC541664,Zm00001d021668
LOC541665,Zm00001d010618
LOC541666,Zm00001d002889
LOC541667,Zm00001d049815
LOC541668,Zm00001d008245
LOC541669,Zm00001d045261
LOC541670,Zm00001d042777
LOC541674,Zm00001d007160
LOC541675,Zm00001d027652
LOC541677,Zm00001d029285
LOC541678,Zm00001d025355
LOC541679,Zm00001d001941
LOC541680,Zm00001d037381
HDA108,Zm00001d050139
LOC541682,Zm00001d019139
LOC541683,Zm00001d042445
LOC541684,Zm00001d034629
LOC541685,Zm00001d038984
LOC541686,Zm00001d045555
LOC541687,Zm00001d026177
LOC541689,Zm00001d052137
LOC541691,Zm00001d024507
LOC541692,Zm00001d049494
LOC541693,Zm00001d032922
LOC541694,Zm00001d030028
LOC541695,Zm00001d003127
LOC541696,Zm00001d006088
LOC541699,Zm00001d042184
LOC541700,Zm00001d035925
LOC541702,Zm00001d030468
LOC541703,Zm00001d034017
LOC541705,Zm00001d031659
LOC541707,Zm00001d007318
LOC541708,Zm00001d014065
LOC541709,Zm00001d021898
LOC541710,Zm00001d041757
LOC541711,Zm00001d004438
LOC541712,Zm00001d048593
LOC541713,Zm00001d020794
LOC541714,Zm00001d013644
LOC541716,Zm00001d049160
LOC541717,Zm00001d028585
LOC541726,Zm00001d017243
LOC541728,Zm00001d021761
LOC541729,Zm00001d050185
LOC541730,Zm00001d005760
LOC541731,Zm00001d041580
LOC541732,Zm00001d017268
LOC541733,Zm00001d003064
LOC541734,Zm00001d021537
LOC541743,Zm00001d043611
LOC541744,Zm00001d022628
LOC541747,Zm00001d026186
LOC541753,Zm00001d014989
LOC541754,Zm00001d012255
LOC541755,Zm00001d013164
LOC541757,Zm00001d044975
LOC541758,Zm00001d053210
LOC541761,Zm00001d052397
LOC541763,Zm00001d044303
LOC541764,Zm00001d016957
LOC541765,Zm00001d018667
LOC541767,Zm00001d048123
LOC541768,Zm00001d053998
LOC541769,Zm00001d033932
LOC541771,-
LOC541772,Zm00001d013314
LOC541773,-
LOC541774,Zm00001d037911
LOC541775,Zm00001d022169
LOC541776,Zm00001d046835
LOC541777,Zm00001d044220
LOC541778,Zm00001d011360
LOC541779,Zm00001d017526
LOC541780,Zm00001d038806
LOC541781,Zm00001d016365
LOC541782,Zm00001d035304
LOC541784,-
LOC541785,Zm00001d043389
LOC541786,Zm00001d011099
LOC541788,Zm00001d033317
LOC541789,-
LOC541790,Zm00001d052216
LOC541791,Zm00001d013039
LOC541793,Zm00001d034049
LOC541794,Zm00001d034602
LOC541795,Zm00001d020219
LOC541796,Zm00001d038840
LOC541798,Zm00001d047398
LOC541799,Zm00001d036425
LOC541800,Zm00001d017429
LOC541802,Zm00001d009795
LOC541803,Zm00001d034553
LOC541804,Zm00001d034770
LOC541805,Zm00001d019507
LOC541806,Zm00001d019317
LOC541807,Zm00001d005250
LOC541808,Zm00001d046831
LOC541809,Zm00001d008567
LOC541810,Zm00001d041785
LOC541811,Zm00001d026283
LOC541812,Zm00001d008559
LOC541814,Zm00001d022032
LOC541815,Zm00001d048020
LOC541816,Zm00001d025619
LOC541817,Zm00001d016979
LOC541818,Zm00001d034795
LOC541819,Zm00001d024540
LOC541820,Zm00001d005648
LOC541821,Zm00001d039173
LOC541822,Zm00001d025267
LOC541823,Zm00001d002778
LOC541824,Zm00001d021557
LOC541825,Zm00001d018669
LOC541826,Zm00001d048516
met2,Zm00001d026291
LOC541828,Zm00001d027542
LOC541829,Zm00001d027539
LOC541830,Zm00001d027540
LOC541831,Zm00001d048353
LOC541832,Zm00001d029801
LOC541833,Zm00001d041772
LOC541834,Zm00001d036951
LOC541836,Zm00001d042096
LOC541837,Zm00001d018220
LOC541838,Zm00001d048558
LOC541839,Zm00001d049657
LOC541840,Zm00001d042102
LOC541841,Zm00001d029708
LOC541842,Zm00001d027557
LOC541843,Zm00001d029700
LOC541845,Zm00001d020780
LOC541846,Zm00001d029704
LOC541847,Zm00001d029707
LOC541848,Zm00001d029706
LOC541849,Zm00001d038192
LOC541850,Zm00001d029699
LOC541851,Zm00001d009763
LOC541854,Zm00001d033937
LOC541855,Zm00001d034460
lox1,Zm00001d042541
LOC541857,Zm00001d010790
LOC541858,Zm00001d031943
LOC541859,Zm00001d036987
LOC541860,Zm00001d002186
LOC541861,Zm00001d049938
LOC541863,Zm00001d018624
LOC541864,-
LOC541865,Zm00001d012763
LOC541866,Zm00001d003214
LOC541867,Zm00001d034896
LOC541868,Zm00001d010523
LOC541869,Zm00001d013309
LOC541870,Zm00001d032373
LOC541871,Zm00001d032239
LOC541872,Zm00001d026148
LOC541873,Zm00001d048060
LOC541874,Zm00001d031019
LOC541875,Zm00001d041455
LOC541876,Zm00001d043302
LOC541877,Zm00001d015985
LOC541878,Zm00001d043552
LOC541879,Zm00001d049767
LOC541880,Zm00001d011037
LOC541881,Zm00001d000237
LOC541882,Zm00001d044785
LOC541883,Zm00001d006780
LOC541884,Zm00001d037228
LOC541885,Zm00001d032461
LOC541886,Zm00001d051403
LOC541887,Zm00001d020383
LOC541888,Zm00001d019563
LOC541889,Zm00001d051174
LOC541890,Zm00001d017288
LOC541891,Zm00001d019565
LOC541892,Zm00001d010325
LOC541893,Zm00001d011778
LOC541894,Zm00001d051362
LOC541895,Zm00001d017485
LOC541896,Zm00001d013956
LOC541897,Zm00001d037779
LOC541900,Zm00001d026178
LOC541901,Zm00001d021709
LOC541902,Zm00001d050032
LOC541903,Zm00001d009431
LOC541904,Zm00001d043047
LOC541905,Zm00001d025018
LOC541907,Zm00001d038476
LOC541908,Zm00001d027283
LOC541909,Zm00001d019560
LOC541910,Zm00001d047089
LOC541911,Zm00001d037532
LOC541912,Zm00001d032610
LOC541913,Zm00001d044339
LOC541914,Zm00001d044340
LOC541915,Zm00001d052185
LOC541916,Zm00001d048143
sfp1,Zm00001d028162
LOC541918,-
LOC541919,Zm00001d028759
gz50,Zm00001d020591
dzs18,Zm00001d037436
dzs10,Zm00001d045937
z1D_2,-
z1C2,Zm00001d049243
z1C1_4,Zm00001d048809
z1C1_12,Zm00001d048806
LOC541927,Zm00001d038597
LOC541928,Zm00001d005230
LOC541929,Zm00001d011036
LOC541930,Zm00001d052273
LOC541931,Zm00001d053595
LOC541932,Zm00001d042433
LOC541933,Zm00001d050874
LOC541934,Zm00001d011705
LOC541935,Zm00001d002156
LOC541936,Zm00001d033620
LOC541937,Zm00001d045080
LOC541938,Zm00001d017423
LOC541939,Zm00001d043840
LOC541940,Zm00001d037499
LOC541942,Zm00001d031128
LOC541944,Zm00001d020669
LOC541946,Zm00001d023437
LOC541947,Zm00001d023699
LOC541949,Zm00001d025626
LOC541950,Zm00001d006918
LOC541951,Zm00001d017555
LOC541952,Zm00001d052749
LOC541953,Zm00001d003813
LOC541954,Zm00001d036296
LOC541955,Zm00001d028890
LOC541956,Zm00001d019967
LOC541957,Zm00001d000179
LOC541958,Zm00001d011735
LOC541959,Zm00001d028154
LOC541960,Zm00001d010948
